input	output
can you ask @CN@ if she can meet my cousin	hi @CN@ , @SCN@ wants to know if you can meet her cousin
ask @CN@ , is julie at home?	hey @CN@ , @SCN@ is asking whether julie is at home?
ask @CN@ ,did we visit our relatives	hi @CN@ , @SCN@ wanted to know if we visit our relatives.
ask @CN@ , how to stay awake	hey @CN@ , @SCN@ is wondering how to stay awake
ask @CN@ about the tour plans	hey @CN@ , @SCN@ would like to know about the tour plans
ask @CN@ where do we see clouds	hey @CN@ @SCN@ would like to know where do we see clouds
ask @CN@, which countries are know for plagiarism?	hi @CN@, @SCN@ is asking which countries are know for plagiarism
can you ask @CN@ if she would help	hi @CN@ , @SCN@ would like to know if she would help.
can you ask @CN@ how to buy items on flash sale	hi @CN@ , @SCN@ is intreseted in knowing how to buy items on flash sale
tell @CN@ to come back from his vacation	hi @CN@ , @SCN@ is telling you to come back from your vacation
please ask @CN@ if my dinner is ready.	hi @CN@, @SCN@ wants to know if her dinner is ready.
please ask @CN@ how he is cooking pasta	hey @CN@ , @SCN@ wants to know how you are cooking pasta
can you ask @CN@ , when can we have dinner	hey @CN@ , @SCN@ wonders when you guys can have dinner
request @CN@ to drop me in the parlour	hi @CN@ , @SCN@ asks you to drop them in the parlour
can you ask @CN@, can you think of the name of a flower beginning with t?	hi @CN@, @SCN@ wants to know if you can think of the name of a flower beginning with t?
tell @CN@ to dim the light	hi @CN@, @SCN@ asks you to dim the light
ask @CN@ , how to sell on ebay	hi @CN@ , @SCN@ wants to know how to sell on ebay
ask @CN@ about the remake of video	hi @CN@ , @SCN@ would like to know about the remake of video.
can you ask @CN@ , how can i find you?	hi @CN@ , @SCN@ seeks to know how can he find you?
ask @CN@, if someone left you a cottage somewhere in the countryside in their will, where would you want the cottage to be located?	hi @CN@,@SCN@ is asking if someone left you a cottage somewhere in the countryside in their will, where would you want the cottage to be located?
ask @CN@ why he chose literature	hey @CN@ , @SCN@ would like to know why you chose literature
ask @CN@ ,can we play carrom board?	hi @CN@ , @SCN@ wants to know if you can play carrom board with them
ask @CN@ , is this a mango tree?	hi @CN@ , @SCN@ would like to know if it’s a mango tree
tell @CN@ ,this is why the city looks abandoned	hey @CN@ , @SCN@ wants to tell you that this is why the city looks abandoned
can you ask @CN@ to finish packing as soon as possible	hey @CN@ , @SCN@ wants you to finish packing as soon as possible
tell @CN@ our teacher always gives us a test.	hi @CN@ , @SCN@ tells their teacher always gives them a test.
tell @CN@ , device will be given to the individuals	hi @CN@ , @SCN@ wants you to know that device will be given to the individuals
ask @CN@ ,how come i can't see her?	hi @CN@ , @SCN@ exclaims why she couldn’t see her
tell @CN@, phone number is user id and otp will be generated for first time	hi @CN@, @SCN@ says phone number is user id and otp will be generated for first time
ask @CN@ what do you know about the corono virus?	@SCN@ would like to know what do you know about the corono virus?
ask @CN@ ,has the party started?	hey @CN@ , @SCN@ would like to know whether the party has started or not?
ask @CN@ didn't he buy the coffee yesterday?	hi @CN@, @SCN@ is asking didn't you but the coffee yesterday?
ask @CN@ ,do i need an assistant?	hi @CN@ , @SCN@ is asking do i need an assistant?
ask @CN@ ,will you pass the exam	hi @CN@ , @SCN@ puzzled if you would pass the exam.
can you tell @CN@ that the dog is sleeping	hey @CN@ , @SCN@ informs that the dog is sleeping
tell @CN@ ,dinner is ready	hey @CN@ , @SCN@ says dinner is ready
ask @CN@ what makes you unhappy?	@SCN@ wants to know what makes you unhappy?
ask @CN@ , can you buy some burger	hey @CN@ , @SCN@ wants to know if you can buy some burger
can you ask @CN@ , when is she going to brazil	hey @CN@ , @SCN@ is asking when your are going to brazil
can you tell @CN@ that there is a mosque on the street	hi @CN@ , @SCN@ informs that there is a mosque on the street
ask @CN@ have you paid the fee?	hey @CN@ , @SCN@ queried whether you had paid the fee.
can you tell @CN@ that the new car is leaking oil	hi @CN@ , @SCN@ notifies that the new car is leaking oil
ask @CN@ when he will be home	hey @CN@ , @SCN@ would like to know when you will be home
ask @CN@ about his festive season plans	hi @CN@ , @SCN@ wishes to know about your festive season plans
can you let @CN@ know that dinner is at six at our house?	hi @CN@, @SCN@ says dinner is at their house.
ask @CN@ , can you complete these by tomorrow.	hey @CN@ , @SCN@ is wondering if you can complete these by tomorrow
ask @CN@ if i need to get anything at the grocery store.	hi @CN@, @SCN@ wants to to know if you want her to get anything form the grocery store.
ask @CN@ if she knows my desktop password.	hey @CN@ , @SCN@ wants to know if you know her desktop password.
ask @CN@ , how to prepare donuts	hi @CN@ , @SCN@ would like to know how to prepare donuts
ask @CN@ about the novel written by him	hey @CN@ , @SCN@ wants to know about the novel written by him
remind @CN@ to brainstorm up new domain names for the website	@SCN@ reminds to brainstorm up new domain names for the website
can you let @CN@ know that i'm going to my mother's after work.	hey @CN@, @SCN@ says they are going to their mother's after work.
please ask @CN@ , do you wish you lived in another country?	hi @CN@ , @SCN@ wants to know do you wish you lived in another country?
tell @CN@ , notifications can be blocked in the app	hi @CN@ , @SCN@ says notifications can be blocked in the app
ask @CN@ , how to make perfect poached eggs	hey @CN@ , @SCN@ is wondering how to make perfect poached eggs
ask @CN@ , can you scubadive with me	hey @CN@ , @SCN@ is wondering if you can scubadive with them
tell @CN@ ,the train is electric.	hey @CN@ , @SCN@ is saying the train is electric.
ask @CN@ would you go to a bank	hi @CN@ @SCN@ wants to know would you go to a bank
ask @CN@ , can you take care of the pet	hey @CN@ , @SCN@ wants to know if you can take care of the pet
ask @CN@ could you swim	hi @CN@ @SCN@ is asking could you swim
can you ask @CN@ who he did not like to have sex with.	@CN@, @SCN@ wants to know who you did not like to have sex with.
can you remind @CN@ to take bob to the pizza joint	hi @CN@, @SCN@ reminds you to take bob to the pizza joint
can you please @CN@ if he bought milk packets	hey @CN@ , @SCN@ is asking if you bought milk packets
ask @CN@ , do you know to play football	hi @CN@ , @SCN@ wants to know whether you know to play football
tell @CN@ to take his blankets	hey @CN@ , @SCN@ wants you to take your blankets
ask @CN@ about his college top scorers	hi @CN@ , @SCN@ asks about your college top scorers
ask @CN@ ,can you clean the vessels	hey @CN@ , @SCN@ is wondering if you clean the vessels
ask @CN@ for a cup of coffee inside the mall	hi @CN@ , @SCN@ invites you to to go on shopping inside the mall
ask @CN@, do you think people are in general are gaining weight or loosing weight?	hey @CN@, @SCN@ asks if you think people are in general are gaining weight or loosing weight?
ask @CN@ , how to make healthy drink	hey @CN@ , @SCN@ is wondering how to make healthy drink
ask @CN@ ,can you bring a blanket?	hi @CN@ , @SCN@ would like to know if you can bring a blanket
ask @CN@ about his interest in collecting stamps	hi @CN@ , @SCN@ asks about your interest in collecting stamps
ask @CN@ did you screamed during a scary movie.	hey @CN@ , @SCN@ wants to know whether you screamed during a scary movie.
ask @CN@ ,what is the name of the street you stay in	hi @CN@ , @SCN@ would love to know the name of the street you stay in
ask @CN@ do you have a nickname	hey @CN@ , @SCN@ wishes to know whether you have a nickname
ask @CN@, how do you say thank you in russian?	hi @CN@, @SCN@ is wondering how do you say thank you in russian?
let @CN@ know i'll be there soon	hi @CN@ , @SCN@ says @SCN@ will be there soon
ask @CN@ on jane	hi @CN@ , @SCN@ would like to know about jane
can you ask @CN@ to bring my hat when she comes home?	hi @CN@, @SCN@ is asking you to bring her hat when you comes home.
can you tell @CN@ that facing the worst fears will enlighten people	hi @CN@ , @SCN@ wants you to know that facing the worst fears will enlighten people
ask @CN@ about his first plane travel	hey @CN@ , @SCN@ wants to know about your first plane travel
ask @CN@ , can you make sound of a owl	hey @CN@ , @SCN@ would like to know if you can make sound of a owl
@SCN@, there are lots of cute bags available online.	@SCN@, @CN@ said you should go online to buy cute bags
ask @CN@ about the species he would like to see	hi @CN@ , @SCN@ wonders which species you would like to see
ask @CN@ , would you like to play tennis with me later?	hi @CN@ , @SCN@ wonders if you like to play tennis with her later
ask @CN@,where does it affected?	hi @CN@, @SCN@ would like to know where does it affected
ask @CN@ ,did you come late.	hi @CN@ , @SCN@ would like to know, whether you came late.
ask @CN@ is it hot	hey @CN@ @SCN@ would like to know is it hot
ask @CN@ about the internet connection	hey @CN@ , @SCN@ wants to know about the internet connection
ask @CN@ if they want to go to my sister's house	hi @CN@ , @SCN@ wants to invite you to go to their sister's house
ask @CN@ , why did alex leave?	hi @CN@ , @SCN@ is wondering why did alex leave
ask @CN@ ,can you come for a movie on sunday?	hi @CN@ , @SCN@ is wondering if you can come for a movie on sunday
please tell @CN@ i did go to the supermarket.	hi @CN@ , @SCN@ tells they did go to the supermarket.
ask @CN@ to send the free passes for the meals	hi @CN@ , @SCN@ would like the free passes for the meals
tell @CN@ not to let the cat out	hi @CN@ , @SCN@ is asking you to not to let the cat out
can you ask @CN@ to preschedule a cab	hey @CN@ , @SCN@ would like you to preschedule a cab
ask @CN@ , has the house been built	hi @CN@ , @SCN@ asked if the house has been built.
call @CN@ for an entrepreneurial meetup in the weekend	hi @CN@ , @SCN@ would like you to attend an entrepreneurial meetup in the weekend
please invite @CN@ to do yoga with me this afternoon.	hey @CN@, @SCN@ is inviting you to do yoga with them this afternoon.
ask @CN@ ,have you read this report	hey @CN@ , @SCN@ is asking whether you have read this report
ask @CN@ , can you get me a pen	hey @CN@ , @SCN@ would like to know if you can get them a pen
ask @CN@ , did you achieved the target?	hey @CN@ , @SCN@ wants to know if you achieved the target
ask @CN@ where was the last place you went swimming	hi @CN@ @SCN@ is asking where was the last place you went swimming
ask @CN@ to arise against the corruption	hey @CN@ , @SCN@ wants you to arise against the corruption
can you remind @CN@ to clean the porch	hi @CN@, @SCN@ reminds you to clean the porch
ask @CN@ do you like to read gossip newspapers?	@SCN@ asks do you like to read gossip newspapers?
ask @CN@ , how to treat a burn	hey @CN@ , @SCN@ is wondering how to treat a burn
can you ask @CN@ why she is upset?	hi @CN@, @SCN@ wants to know why you are upset.
ask @CN@ , is john late	hi @CN@ , @SCN@ wants to know if john is late.
ask @CN@ to come to the marathon	hi @CN@ , @SCN@ wonders if you could join him for the marathon
ask @CN@ , can we dance together?	hi @CN@ , @SCN@ would like to know if we can dance together
can you ask @CN@ , where shall we go for weekends	hey @CN@ , @SCN@ wonders where shall you guys can go for weekends
please invite @CN@ for the wedding	hi @CN@ , @SCN@ is inviting you for the wedding
can you tell @CN@ that we are out of sugar	hey @CN@, @SCN@ wants you to know that they are out of sugar
ask @CN@ ,did you have food?	hi @CN@ , @SCN@ wishes to know whether if you had food
ask @CN@ , do you wear glasses?	hey @CN@ , @SCN@ wants to know if you wear glasses?
call @CN@ for an inter corporate talks	hi @CN@ , @SCN@ calls you for an inter corporate talks
ask @CN@ to go to party as soon as possible	hi @CN@ , @SCN@ is asking you to go to party as soon as possible
ask @CN@ , if nancy reads novels	hi @CN@ , @SCN@ would like to know if nancy reads novels
ask @CN@ , need i accompany her to the airport	hey @CN@ , @SCN@ would like to know if i need to accompany your to the airport
ask @CN@ about his new puppy	hey @CN@ , @SCN@ needs to know about your new puppy
ask @CN@ ,who are your best friends?	hi @CN@ , @SCN@ wants to know who are your best friends?
ask @CN@ , how to become a police officer	hi @CN@ , @SCN@ is asking how to become a police officer
can you tell @CN@ that there is a park on the street	hi @CN@ , @SCN@ conveys that there is a park on the street
ask @CN@ , can you come at 7.00 pm today?	hi @CN@ , @SCN@ needs to know if you can come at 7.00 pm today
ask @CN@, when will the world end	hey @SCN@, @SCN@ wants to know when the world will end
ask @CN@ , could this gossip be true?	hi @CN@ , @SCN@ would like to know if the gossip could be true
ask @CN@ , are you going to the market?	hi @CN@ , @SCN@ wants to know whether you are going to tha market.
can you ask @CN@ how to maintain diet	hi @CN@ , @SCN@ requested to know how to maintain diet.
ask @CN@ ,what are you thinking about?	hi @CN@ , @SCN@ wants to know what are you thinking about?
can you ask @CN@ how to make a remote controlled car from scratch	hi @CN@ , @SCN@ would like to know how to make a remote controlled car from scratch
